Feature,Importance
show_id,0.024636101395726254
title,0.022661625122156744
director,0.019866226988527566
cast,0.027587588911093572
country,0.022117455029439893
date_added,0.044676200776819365
release_year,0.014651098003188758
rating,0.009373408350395263
duration,0.6362381072126639
listed_in,0.1554988507548904
description,0.02269333745509815
